allele	iuis_allele
IGHVF6-G17*01	IGHV1-24*01
IGHVF6-G18*01	IGHV1-69-2*01
IGHVF6-G19*01	IGHV1-58*03
IGHVF6-G19*02	IGHV1-58*01
IGHVF6-G19*03	IGHV1-58*02
IGHVF6-G20*01	IGHV1-45*02
IGHVF6-G20*02	IGHV1-45*03
IGHVF6-G21*01	IGHV1-69*19
IGHVF6-G21*02	IGHV1-69*i04
IGHVF6-G21*03	IGHV1-69*17
IGHVF6-G21*04	IGHV1-69*14
IGHVF6-G21*05	IGHV1-69*06
IGHVF6-G21*06	IGHV1-69*01/IGHV1-69D*01
IGHVF6-G21*07	IGHV1-69*15
IGHVF6-G21*08	IGHV1-69*18
IGHVF6-G21*09	IGHV1-69*13
IGHVF6-G21*10	IGHV1-69*05
IGHVF6-G21*11	IGHV1-69*12
IGHVF6-G21*12	IGHV1-69*10
IGHVF6-G21*13	IGHV1-69*02
IGHVF6-G21*14	IGHV1-69*20
IGHVF6-G21*15	IGHV1-69*04
IGHVF6-G21*16	IGHV1-69*09
IGHVF6-G22*01	IGHV1-8*03
IGHVF6-G22*02	IGHV1-8*01
IGHVF6-G22*03	IGHV1-8*02
IGHVF6-G23*01	IGHV1-46*04
IGHVF6-G23*02	IGHV1-46*01
IGHVF6-G23*03	IGHV1-46*03
IGHVF6-G24*01	IGHV1-2*05
IGHVF6-G24*02	IGHV1-2*06
IGHVF6-G24*03	IGHV1-2*07
IGHVF6-G24*04	IGHV1-2*02
IGHVF6-G24*05	IGHV1-2*04
IGHVF6-G25*01	IGHV1-18*04
IGHVF6-G25*02	IGHV1-18*01
IGHVF6-G25*03	IGHV1-18*03
IGHVF6-G26*01	IGHV1-3*02
IGHVF6-G26*02	IGHV1-3*05
IGHVF6-G26*03	IGHV1-3*01
IGHVF6-G26*04	IGHV1-3*04
IGHVF7-G27*01	IGHV8-51-1*05
IGHVF7-G27*02	IGHV8-51-1*03
IGHVF7-G27*03	IGHV8-51-1*02
IGHVF7-G27*04	IGHV8-51-1*04
IGHVF8-G28*01	IGHV3-72*01
IGHVF8-G29*01	IGHV3-73*01
IGHVF8-G29*02	IGHV3-73*02
IGHVF8-G30*01	IGHV3-49*05
IGHVF8-G30*02	IGHV3-49*03
IGHVF8-G30*03	IGHV3-49*04
IGHVF8-G31*01	IGHV3-15*01
IGHVF8-G31*02	IGHV3-15*07
IGHVF9-G32*01	IGHV3-25*04
IGHVF9-G32*02	IGHV3-25*03
IGHVF9-G32*03	IGHV3-25*02
IGHVF9-G32*04	IGHV3-25*05
IGHVF10-G33*01	IGHV3-13*i01
IGHVF10-G33*02	IGHV3-13*05
IGHVF10-G33*03	IGHV3-13*01
IGHVF10-G33*04	IGHV3-13*04
IGHVF10-G34*01	IGHV3-47*01
IGHVF10-G34*02	IGHV3-47*02
IGHVF10-G35*01	IGHV3-38-3*01
IGHVF10-G35*02	IGHV3-38*03
IGHVF10-G35*03	IGHV3-38*01
IGHVF10-G35*04	IGHV3-38*02
IGHVF10-G36*01	IGHV3-NL1*01
IGHVF10-G37*01	IGHV3-30*i02
IGHVF10-G37*02	IGHV3-30*01
IGHVF10-G37*03	IGHV3-30-3*01
IGHVF10-G37*04	IGHV3-30-3*03/IGHV3-30*04
IGHVF10-G37*05	IGHV3-30*20
IGHVF10-G37*06	IGHV3-30*03
IGHVF10-G37*07	IGHV3-30-5*01/IGHV3-30*18
IGHVF10-G37*08	IGHV3-30-5*02/IGHV3-30*02
IGHVF10-G37*09	IGHV3-33*08
IGHVF10-G37*10	IGHV3-33*01
IGHVF10-G37*11	IGHV3-33*06
IGHVF10-G38*01	IGHV3-64*02
IGHVF10-G38*02	IGHV3-64*01
IGHVF10-G38*03	IGHV3-64*07
IGHVF10-G38*04	IGHV3-64D*09
IGHVF10-G38*05	IGHV3-64D*06
IGHVF10-G38*06	IGHV3-64D*08
IGHVF10-G39*01	IGHV3-74*01
IGHVF10-G40*01	IGHV3-66*01
IGHVF10-G40*02	IGHV3-66*02
IGHVF10-G40*03	IGHV3-66*03
IGHVF10-G40*04	IGHV3-53*04
IGHVF10-G40*05	IGHV3-53*05
IGHVF10-G40*06	IGHV3-53*01
IGHVF10-G40*07	IGHV3-53*02
IGHVF10-G41*01	IGHV3-23*03
IGHVF10-G41*02	IGHV3-23*04
IGHVF10-G41*03	IGHV3-23*01/IGHV3-23D*01
IGHVF10-G42*01	IGHV3-43D*i02
IGHVF10-G42*02	IGHV3-43D*03
IGHVF10-G42*03	IGHV3-43D*04
IGHVF10-G42*04	IGHV3-43*01
IGHVF10-G42*05	IGHV3-43*02
IGHVF10-G43*01	IGHV3-20*04
IGHVF10-G43*02	IGHV3-20*01
IGHVF10-G43*03	IGHV3-20*02
IGHVF10-G44*01	IGHV3-9*04
IGHVF10-G44*02	IGHV3-9*03
IGHVF10-G44*03	IGHV3-9*01
IGHVF10-G44*04	IGHV3-9*02
IGHVF10-G45*01	IGHV3-62*03
IGHVF10-G46*01	IGHV3-16*04
IGHVF10-G46*02	IGHV3-16*02
IGHVF10-G46*03	IGHV3-16*03
IGHVF10-G47*01	IGHV3-19*01
IGHVF10-G48*01	IGHV3-35*01
IGHVF10-G48*02	IGHV3-35*02
IGHVF10-G49*01	IGHV3-7*04
IGHVF10-G49*02	IGHV3-7*05
IGHVF10-G49*03	IGHV3-7*01
IGHVF10-G49*04	IGHV3-7*03
IGHVF10-G50*01	IGHV3-11*01
IGHVF10-G50*02	IGHV3-11*04
IGHVF10-G50*03	IGHV3-11*05
IGHVF10-G50*04	IGHV3-11*06
IGHVF10-G51*01	IGHV3-21*07
IGHVF10-G51*02	IGHV3-21*05
IGHVF10-G51*03	IGHV3-21*06
IGHVF10-G51*04	IGHV3-21*01
IGHVF10-G51*05	IGHV3-21*03
IGHVF10-G52*01	IGHV3-69-1*01
IGHVF10-G52*02	IGHV3-69-1*02
IGHVF10-G52*03	IGHV3-48*03
IGHVF10-G52*04	IGHV3-48*04
IGHVF10-G52*05	IGHV3-48*01
IGHVF10-G52*06	IGHV3-48*02
