allele	iuis	asc	iglabel
IGHV1-ARUH*03	IGHV1-58*01_c201t	IGHV1-ARUH*03	IGHV1-DR5R*00
IGHV1-ARUH*01	IGHV1-58*02_g61t	IGHV1-ARUH*01	IGHV1-ARUH*00
IGHV2-HPQR*04	IGHV2-5*01	IGHV2-HPQR*04	IGHV1-MRNY*00
IGHV2-HPQR*05	IGHV2-5*01_a220g	IGHV2-HPQR*05	IGHV1-UFPW*00
IGHV2-HPQR*03	IGHV2-5*02_g292a	IGHV2-HPQR*03	IGHV1-IKUL*00
IGHV2-HPQR*01	IGHV2-5*02	IGHV2-HPQR*01	IGHV1-HPQR*00
IGHV2-HPQR*02	IGHV2-5*02_a202g	IGHV2-HPQR*02	IGHV1-ICTG*00
IGHV4-2352*14	IGHV4-59*11_G4A	IGHV4-2352*14	IGHV1-Q7HK*00
IGHV1-N56A*02	IGHV1-45*03	IGHV1-N56A*02	IGHV1-N7LV*00
IGHV1-N56A*01	IGHV1-45*02	IGHV1-N56A*01	IGHV1-N56A*00
IGHV4-CKBR*04	IGHV4-30-2*01	IGHV4-CKBR*04	IGHV1-QEHF*00
IGHV4-CKBR*01	IGHV4-30-2*01_c288t	IGHV4-CKBR*01	IGHV1-CKBR*00
IGHV4-CKBR*02	IGHV4-30-2*05	IGHV4-CKBR*02	IGHV1-DLLY*00
IGHV4-CKBR*03	IGHV4-30-2*06	IGHV4-CKBR*03	IGHV1-G2VF*00
IGHV4-4SZD*12	IGHV4-30-4*01_g4c_t120c	IGHV4-4SZD*12	IGHV1-T5PQ*00
IGHV4-6RTC*04	IGHV4-39*09	IGHV4-6RTC*04	IGHV1-INIL*00
IGHV4-6RTC*05	IGHV4-39*07_c288a	IGHV4-6RTC*05	IGHV1-L5J3*00
IGHV4-6RTC*02	IGHV4-39*07_g319c	IGHV4-6RTC*02	IGHV1-DRIU*00
IGHV4-6RTC*01	IGHV4-39*07	IGHV4-6RTC*01	IGHV1-6RTC*00
IGHV4-6RTC*08	IGHV4-39*01_t300c	IGHV4-6RTC*08	IGHV1-UTUC*00
IGHV4-6RTC*03	IGHV4-39*i03	IGHV4-6RTC*03	IGHV1-F2JK*00
IGHV4-6RTC*09	IGHV4-39*01_g315a	IGHV4-6RTC*09	IGHV1-VWCI*00
IGHV4-6RTC*07	IGHV4-39*01	IGHV4-6RTC*07	IGHV1-OEIR*00
IGHV4-6RTC*06	IGHV4-39*08	IGHV4-6RTC*06	IGHV1-OEAN*00
IGHV6-CLFH*01	IGHV6-1*01	IGHV6-CLFH*01	IGHV1-CLFH*00
IGHV6-CLFH*02	IGHV6-1*03	IGHV6-CLFH*02	IGHV1-R4BM*00
IGHV4-6VHY*03	IGHV4-28*07	IGHV4-6VHY*03	IGHV1-F7KJ*00
IGHV2-2KSE*03	IGHV2-70D*04_t116c/IGHV2-70*05	IGHV2-2KSE*03	IGHV1-J7IJ*00
IGHV2-2KSE*10	IGHV2-70D*04/IGHV2-70*04	IGHV2-2KSE*10	IGHV1-WIOD*00
IGHV2-2KSE*05	IGHV2-70D*14	IGHV2-2KSE*05	IGHV1-LDJA*00
IGHV2-2KSE*07	IGHV2-70*04_a60g_t197a_a200g	IGHV2-2KSE*07	IGHV1-OGPO*00
IGHV2-2KSE*12	IGHV2-70*04_a60g_t197a_a200g_a242c	IGHV2-2KSE*12	IGHV1-XWAP*00
IGHV2-4ZTD*06	IGHV2-26*01_g36a	IGHV2-4ZTD*06	IGHV1-Q6ZL*00
IGHV2-4ZTD*01	IGHV2-26*01_g39a	IGHV2-4ZTD*01	IGHV1-4ZTD*00
IGHV2-4ZTD*03	IGHV2-26*01_g73a	IGHV2-4ZTD*03	IGHV1-6VBC*00
IGHV2-4ZTD*04	IGHV2-26*01	IGHV2-4ZTD*04	IGHV1-BXGC*00
IGHV2-4ZTD*05	IGHV2-26*02	IGHV2-4ZTD*05	IGHV1-F7YL*00
IGHV2-4ZTD*08	IGHV2-26*04	IGHV2-4ZTD*08	IGHV1-YLWI*00
IGHV2-2KSE*09	IGHV2-70*04_a14g	IGHV2-2KSE*09	IGHV1-P4YG*00
IGHV2-2KSE*01	IGHV2-70*15	IGHV2-2KSE*01	IGHV1-2KSE*00
IGHV2-2KSE*06	IGHV2-70*01_c231a	IGHV2-2KSE*06	IGHV1-MIAJ*00
IGHV2-2KSE*11	IGHV2-70*01	IGHV2-2KSE*11	IGHV1-XOAF*00
IGHV2-2KSE*08	IGHV2-70*01_g261t	IGHV2-2KSE*08	IGHV1-OMMF*00
IGHV2-2KSE*04	IGHV2-70*20	IGHV2-2KSE*04	IGHV1-JEXP*00
IGHV2-2KSE*02	IGHV2-70*01_a124g	IGHV2-2KSE*02	IGHV1-C4BE*00
IGHV1-F2NP*04	IGHV1-24*01_t105c_t116g_t138c	IGHV1-F2NP*04	IGHV1-PAN2*00
IGHV1-F2NP*05	IGHV1-24*01_g270c	IGHV1-F2NP*05	IGHV1-R76L*00
IGHV1-F2NP*01	IGHV1-24*01_g297a	IGHV1-F2NP*01	IGHV1-F2NP*00
IGHV1-F2NP*02	IGHV1-24*01	IGHV1-F2NP*02	IGHV1-FV7B*00
IGHV1-F2NP*03	IGHV1-24*01_c300t	IGHV1-F2NP*03	IGHV1-JG6S*00
IGHV1-2DHF*05	IGHV1-69*02	IGHV1-2DHF*05	IGHV1-5SY3*00
IGHV1-2DHF*08	IGHV1-69D*01_g6c_g48a_g163a	IGHV1-2DHF*08	IGHV1-BNRQ*00
IGHV1-2DHF*18	IGHV1-69D*01_g6c_g48a	IGHV1-2DHF*18	IGHV1-SCDD*00
IGHV1-2DHF*15	IGHV1-69D*01_g6c_g48a_c191t	IGHV1-2DHF*15	IGHV1-PIXH*00
IGHV1-AVZG*04	IGHV1-3*02_t6c_g167t	IGHV1-AVZG*04	IGHV1-OAKE*00
IGHV1-AVZG*01	IGHV1-3*02_t6c_g167t_c309t	IGHV1-AVZG*01	IGHV1-AVZG*00
IGHV1-2DHF*32	IGHV1-69D*01_g6c_g54a_g163a	IGHV1-2DHF*32	IGHV1-Z36D*00
IGHV1-2DHF*24	IGHV1-69*10	IGHV1-2DHF*24	IGHV1-WTCH*00
IGHV1-2DHF*28	IGHV1-69D*01_g6c_g54a_g238a	IGHV1-2DHF*28	IGHV1-XNMK*00
IGHV1-2DHF*17	IGHV1-69*13	IGHV1-2DHF*17	IGHV1-QVXI*00
IGHV1-2DHF*23	IGHV1-69D*01_g6c_g112a_g163a_t184c_c191t	IGHV1-2DHF*23	IGHV1-VGZD*00
IGHV1-2DHF*10	IGHV1-69D*01_G6C_G112A/IGHV1-69*01_G6C_G112A	IGHV1-2DHF*10	IGHV1-C3ZI*00
IGHV1-2DHF*31	IGHV1-69*04	IGHV1-2DHF*31	IGHV1-Y66S*00
IGHV1-2DHF*19	IGHV1-69D*01_g6c_g163a_t184c_c191t	IGHV1-2DHF*19	IGHV1-THDO*00
IGHV1-2DHF*22	IGHV1-69D*01_g6c_g163a_g238a	IGHV1-2DHF*22	IGHV1-UNVQ*00
IGHV1-2DHF*06	IGHV1-69D*01_g6c_g163a_g244a	IGHV1-2DHF*06	IGHV1-AXDW*00
IGHV1-2DHF*02	IGHV1-69*15	IGHV1-2DHF*02	IGHV1-3CQG*00
IGHV1-2DHF*03	IGHV1-69*20	IGHV1-2DHF*03	IGHV1-3QDR*00
IGHV1-2DHF*01	IGHV1-69*05_t184c_c191t	IGHV1-2DHF*01	IGHV1-2DHF*00
IGHV1-2DHF*12	IGHV1-69*04_a163g	IGHV1-2DHF*12	IGHV1-HRWI*00
IGHV1-2DHF*20	IGHV1-69D*01_g6c_t184c_c191t	IGHV1-2DHF*20	IGHV1-U7P2*00
IGHV1-2DHF*29	IGHV1-69*05/IGHV1-69D*01_g6c_g238a	IGHV1-2DHF*29	IGHV1-XWVA*00
IGHV1-2DHF*04	IGHV1-69D*01_g6c_g244a/IGHV1-69*14	IGHV1-2DHF*04	IGHV1-44X4*00
IGHV1-2DHF*25	IGHV1-69*12/IGHV1-69D*01_g6c	IGHV1-2DHF*25	IGHV1-X3H2*00
IGHV1-2DHF*09	IGHV1-69D*01_g6c_c191t	IGHV1-2DHF*09	IGHV1-BXQF*00
IGHV1-7PYA*02	IGHV1-38-4*01	IGHV1-7PYA*02	IGHV1-RDBY*00
IGHV1-AVZG*02	IGHV1-3*05	IGHV1-AVZG*02	IGHV1-EKZR*00
IGHV1-AVZG*06	IGHV1-3*04	IGHV1-AVZG*06	IGHV1-SVFR*00
IGHV1-AVZG*05	IGHV1-3*01	IGHV1-AVZG*05	IGHV1-SASM*00
IGHV4-4MQ4*02	IGHV4-34*01_g319c_g320a	IGHV4-4MQ4*02	IGHV1-BSZU*00
IGHV4-4MQ4*03	IGHV4-34*01	IGHV4-4MQ4*03	IGHV1-TPGZ*00
IGHV4-4MQ4*01	IGHV4-34*01_c195g	IGHV4-4MQ4*01	IGHV1-4MQ4*00
IGHV4-2P6V*06	IGHV4-4*03	IGHV4-2P6V*06	IGHV1-QALY*00
IGHV4-2P6V*05	IGHV4-4*01_g308a	IGHV4-2P6V*05	IGHV1-KWPO*00
IGHV4-2P6V*02	IGHV4-4*01	IGHV4-2P6V*02	IGHV1-AVNM*00
IGHV4-EMAS*01	IGHV4-61*02	IGHV4-EMAS*01	IGHV1-EMAS*00
IGHV4-EMAS*02	IGHV4-61*11	IGHV4-EMAS*02	IGHV1-GEG7*00
IGHV4-EMAS*03	IGHV4-61*02_a234g	IGHV4-EMAS*03	IGHV1-MTRH*00
IGHV4-4SZD*02	IGHV4-30-4*01_t120c_c134a	IGHV4-4SZD*02	IGHV1-6APB*00
IGHV4-4SZD*04	IGHV4-30-4*08	IGHV4-4SZD*04	IGHV1-7VKM*00
IGHV4-4SZD*03	IGHV4-30-4*01_t120c	IGHV4-4SZD*03	IGHV1-7MA7*00
IGHV4-4SZD*11	IGHV4-30-4*01_t120c_c245g	IGHV4-4SZD*11	IGHV1-SG5G*00
IGHV4-4SZD*13	IGHV4-30-4*01	IGHV4-4SZD*13	IGHV1-YGGH*00
IGHV4-4SZD*10	IGHV4-31*03/IGHV4-30-2*05_2677/IGHV4-30-4*09	IGHV4-4SZD*10	IGHV1-RAWB*00
IGHV4-4SZD*08	IGHV4-31*01/IGHV4-30-2*05_8a1b	IGHV4-4SZD*08	IGHV1-QOFR*00
IGHV4-4SZD*09	IGHV4-30-2*05_316a/IGHV4-31*03_c198t	IGHV4-4SZD*09	IGHV1-QRKG*00
IGHV4-4SZD*01	IGHV4-30-4*01_a107g_t120c	IGHV4-4SZD*01	IGHV1-4SZD*00
IGHV4-CKBR*05	IGHV4-30-2*01_c4g_c21g_t25c_g70a_c113a_c285t_c315g	IGHV4-CKBR*05	IGHV1-RBGU*00
IGHV4-2352*13	IGHV4-59*01_g48a_g49c	IGHV4-2352*13	IGHV1-LIB7*00
IGHV4-4SZD*06	IGHV4-31*11	IGHV4-4SZD*06	IGHV1-HFSO*00
IGHV4-4SZD*05	IGHV4-31*03_a70g	IGHV4-4SZD*05	IGHV1-EC6G*00
IGHV4-4SZD*07	IGHV4-30-4*i02	IGHV4-4SZD*07	IGHV1-PADO*00
IGHV4-CKBR*06	IGHV4-30-4*07	IGHV4-CKBR*06	IGHV1-SDGG*00
IGHV4-6VHY*07	IGHV4-28*02	IGHV4-6VHY*07	IGHV1-KAXW*00
IGHV4-6VHY*06	IGHV4-28*01_t196a_g289t	IGHV4-6VHY*06	IGHV1-IDJL*00
IGHV4-6VHY*05	IGHV4-28*01_g301a	IGHV4-6VHY*05	IGHV1-HFQY*00
IGHV4-6VHY*08	IGHV4-28*01	IGHV4-6VHY*08	IGHV1-MLSV*00
IGHV4-6VHY*10	IGHV4-28*03	IGHV4-6VHY*10	IGHV1-SLP3*00
IGHV4-6VHY*01	IGHV4-28*05	IGHV4-6VHY*01	IGHV1-6VHY*00
IGHV4-6VHY*09	IGHV4-28*01_a152c	IGHV4-6VHY*09	IGHV1-PRUH*00
IGHV4-2352*02	IGHV4-59*11	IGHV4-2352*02	IGHV1-2E4B*00
IGHV4-2352*06	IGHV4-59*01_t109c	IGHV4-2352*06	IGHV1-DAEK*00
IGHV4-2352*15	IGHV4-59*01_t109c_a147g_t163a_a164g	IGHV4-2352*15	IGHV1-QGYX*00
IGHV4-2352*01	IGHV4-4*09	IGHV4-2352*01	IGHV1-2352*00
IGHV4-3GMG*04	IGHV4-61*01_g88a_g92-_c93-_100----103_t165c_t172a_a173c_t288c_g291a_g319c	IGHV4-3GMG*04	IGHV1-WJDE*00
IGHV4-3GMG*03	IGHV4-61*01_g88a_g92-_c93-_100----103_t165c_t172a_a173c_t288c_g291a	IGHV4-3GMG*03	IGHV1-RICO*00
IGHV4-2352*16	IGHV4-4*08	IGHV4-2352*16	IGHV1-YLOJ*00
IGHV4-2352*17	IGHV4-59*i03	IGHV4-2352*17	IGHV1-Z23F*00
IGHV4-2352*12	IGHV4-NL1*01	IGHV4-2352*12	IGHV1-JFO6*00
IGHV4-3GMG*02	IGHV4-61*01_g88a_g92-_c93-_100----103_t288c_g319c	IGHV4-3GMG*02	IGHV1-PCUP*00
IGHV4-2352*11	IGHV4-59*12	IGHV4-2352*11	IGHV1-IDTS*00
IGHV4-2352*03	IGHV4-59*01_t288c	IGHV4-2352*03	IGHV1-2XE6*00
IGHV4-2352*07	IGHV4-59*01	IGHV4-2352*07	IGHV1-GODO*00
IGHV4-2352*09	IGHV4-59*01_a138g	IGHV4-2352*09	IGHV1-HKV4*00
IGHV4-2352*04	IGHV4-4*07_g234a_c245a	IGHV4-2352*04	IGHV1-BFEF*00
IGHV4-2352*10	IGHV4-4*07	IGHV4-2352*10	IGHV1-HVAO*00
IGHV4-CAUG*03	IGHV4-61*01_c134a	IGHV4-CAUG*03	IGHV1-YJQ5*00
IGHV4-CAUG*02	IGHV4-61*01	IGHV4-CAUG*02	IGHV1-QKVS*00
IGHV4-CAUG*01	IGHV4-61*10	IGHV4-CAUG*01	IGHV1-CAUG*00
IGHV4-4RVQ*03	IGHV4-38-2*02	IGHV4-4RVQ*03	IGHV1-XS3H*00
IGHV4-4RVQ*01	IGHV4-38-2*01_g319c	IGHV4-4RVQ*01	IGHV1-4RVQ*00
IGHV4-4RVQ*02	IGHV4-38-2*01	IGHV4-4RVQ*02	IGHV1-QCDM*00
IGHV4-6VHY*02	IGHV4-28*01_a50g_c51g_g70a_t82g_a83g_t196a_g289t	IGHV4-6VHY*02	IGHV1-ENBP*00
IGHV4-2352*08	IGHV4-4*07_a50g	IGHV4-2352*08	IGHV1-HJ5D*00
IGHV4-2P6V*04	IGHV4-4*02	IGHV4-2P6V*04	IGHV1-FBY4*00
IGHV4-2P6V*01	IGHV4-4*01_c46t	IGHV4-2P6V*01	IGHV1-2P6V*00
IGHV4-2P6V*03	IGHV4-4*02_a196t	IGHV4-2P6V*03	IGHV1-ESMD*00
IGHV4-2P6V*07	IGHV4-4*10	IGHV4-2P6V*07	IGHV1-ZCHO*00
IGHV4-CAUG*05	IGHV4-61*i04	IGHV4-CAUG*05	IGHV1-ZIL2*00
IGHV4-CAUG*04	IGHV4-61*01_a41g	IGHV4-CAUG*04	IGHV1-YOZ2*00
IGHV4-EMAS*04	IGHV4-61*02_c34t_g164a	IGHV4-EMAS*04	IGHV1-WIHX*00
IGHV4-6VHY*04	IGHV4-28*05_c20t	IGHV4-6VHY*04	IGHV1-GFUA*00
IGHV7-C7GW*02	IGHV7-4-1*02_g221a	IGHV7-C7GW*02	IGHV1-Q4FY*00
IGHV7-C7GW*05	IGHV7-4-1*02	IGHV7-C7GW*05	IGHV1-ZE4Z*00
IGHV7-C7GW*04	IGHV7-4-1*01	IGHV7-C7GW*04	IGHV1-YLHT*00
IGHV7-C7GW*01	IGHV7-4-1*04	IGHV7-C7GW*01	IGHV1-C7GW*00
IGHV7-C7GW*03	IGHV7-4-1*05	IGHV7-C7GW*03	IGHV1-TFER*00
IGHV1-5LBE*05	IGHV1-18*01_t6g	IGHV1-5LBE*05	IGHV1-VZ6K*00
IGHV7-4XK4*02	IGHV7-81*01	IGHV7-4XK4*02	IGHV1-AWA6*00
IGHV7-4XK4*03	IGHV7-81*01_c257t_c265a	IGHV7-4XK4*03	IGHV1-NS26*00
IGHV1-27JB*09	IGHV1-2*02_g39a	IGHV1-27JB*09	IGHV1-YQLW*00
IGHV1-L3PD*02	IGHV1-8*02	IGHV1-L3PD*02	IGHV1-OBG7*00
IGHV1-L3PD*03	IGHV1-8*03	IGHV1-L3PD*03	IGHV1-PGFG*00
IGHV1-L3PD*01	IGHV1-8*01	IGHV1-L3PD*01	IGHV1-L3PD*00
IGHV1-27JB*04	IGHV1-2*06	IGHV1-27JB*04	IGHV1-BDQZ*00
IGHV1-27JB*06	IGHV1-2*02_t163c	IGHV1-27JB*06	IGHV1-QQ3Z*00
IGHV1-27JB*01	IGHV1-2*05	IGHV1-27JB*01	IGHV1-27JB*00
IGHV1-27JB*07	IGHV1-2*02_G225A	IGHV1-27JB*07	IGHV1-T723*00
IGHV1-27JB*02	IGHV1-2*02_G315A	IGHV1-27JB*02	IGHV1-42XM*00
IGHV1-27JB*03	IGHV1-2*02	IGHV1-27JB*03	IGHV1-BAAP*00
IGHV1-27JB*08	IGHV1-2*04	IGHV1-27JB*08	IGHV1-VJYM*00
IGHV1-27JB*05	IGHV1-2*07	IGHV1-27JB*05	IGHV1-BOBA*00
IGHV1-5JOY*04	IGHV1-46*01	IGHV1-5JOY*04	IGHV1-T52Y*00
IGHV1-5JOY*01	IGHV1-46*03	IGHV1-5JOY*01	IGHV1-5JOY*00
IGHV1-5JOY*02	IGHV1-46*01_c245t	IGHV1-5JOY*02	IGHV1-KQYW*00
IGHV1-5JOY*03	IGHV1-46*04	IGHV1-5JOY*03	IGHV1-RAQR*00
IGHV1-5JOY*05	IGHV1-46*01_a71t	IGHV1-5JOY*05	IGHV1-UMZW*00
IGHV1-2DHF*21	IGHV1-69D*01_g54a	IGHV1-2DHF*21	IGHV1-UITK*00
IGHV1-2DHF*13	IGHV1-69*09	IGHV1-2DHF*13	IGHV1-NVCJ*00
IGHV1-2DHF*14	IGHV1-69*18	IGHV1-2DHF*14	IGHV1-O354*00
IGHV1-2DHF*26	IGHV1-69*i04	IGHV1-2DHF*26	IGHV1-X3NU*00
IGHV1-2DHF*11	IGHV1-69*06	IGHV1-2DHF*11	IGHV1-H6F5*00
IGHV1-2DHF*16	IGHV1-69D*01/IGHV1-69*01	IGHV1-2DHF*16	IGHV1-Q43D*00
IGHV1-2DHF*27	IGHV1-69D*01_A318G/IGHV1-69*01_A318G	IGHV1-2DHF*27	IGHV1-X5UT*00
IGHV1-2DHF*07	IGHV1-69*19	IGHV1-2DHF*07	IGHV1-BKZC*00
IGHV1-2DHF*30	IGHV1-69*17	IGHV1-2DHF*30	IGHV1-XWZX*00
IGHV3-3OXN*24	IGHV3-30-3*03_g150a_t288c	IGHV3-3OXN*24	IGHV1-XKQK*00
IGHV3-3OXN*22	IGHV3-30-3*03_g150a/IGHV3-30*01	IGHV3-3OXN*22	IGHV1-W2Q3*00
IGHV3-3OXN*01	IGHV3-30-3*01/IGHV3-30-5*01_g113c_c114t_t189c_t201c_a317g/IGHV3-30*04_t189c	IGHV3-3OXN*01	IGHV1-3OXN*00
IGHV3-3OXN*20	IGHV3-30-3*01_c201t	IGHV3-3OXN*20	IGHV1-U7N2*00
IGHV3-3OXN*08	IGHV3-30-3*03/IGHV3-30*04	IGHV3-3OXN*08	IGHV1-IY3K*00
IGHV3-3OXN*09	IGHV3-30*18_G113C_C114T_T201C_C296T_A317G/IGHV3-30-5*01_G113C_C114T_T201C_C296T_A317G/IGHV3-30-3*03_c113g_t114c_c201t_g317a_G113C_C114T_T201C_C296T_A317G	IGHV3-3OXN*09	IGHV1-J4HH*00
IGHV3-3OXN*13	IGHV3-30-3*03_c203t/IGHV3-30-5*01_g113c_c114t_t201c_c203t_a317g	IGHV3-3OXN*13	IGHV1-R62X*00
IGHV3-3OXN*12	IGHV3-30*i02	IGHV3-3OXN*12	IGHV1-OPDZ*00
IGHV3-3OXN*25	IGHV3-30*18/IGHV3-30-5*01/IGHV3-30-3*03_c113g_t114c_c201t_g317a	IGHV3-3OXN*25	IGHV1-ZB56*00
IGHV3-3OXN*07	IGHV3-30*03	IGHV3-3OXN*07	IGHV1-HLSG*00
IGHV3-3OXN*18	IGHV3-33*08	IGHV3-3OXN*18	IGHV1-TE4C*00
IGHV3-3OXN*14	IGHV3-33*01_g75c/IGHV3-30*03_c170g_a171g_t288c	IGHV3-3OXN*14	IGHV1-SJGD*00
IGHV3-3OXN*17	IGHV3-30*18_c170g_a171g_g301a/IGHV3-30-5*01_c170g_a171g_g301a	IGHV3-3OXN*17	IGHV1-T4L7*00
IGHV3-3OXN*10	IGHV3-30*18_c170g_a171g	IGHV3-3OXN*10	IGHV1-LOYK*00
IGHV3-3OXN*19	IGHV3-30*03_c170g_a171g_a318c	IGHV3-3OXN*19	IGHV1-U27E*00
IGHV3-3OXN*21	IGHV3-30*18_c170g_a171g_a176g	IGHV3-3OXN*21	IGHV1-V3ZO*00
IGHV3-3OXN*16	IGHV3-30*20	IGHV3-3OXN*16	IGHV1-SYW7*00
IGHV3-3OXN*05	IGHV3-30-5*01_c75g	IGHV3-3OXN*05	IGHV1-7HCG*00
IGHV3-3OXN*23	IGHV3-30-5*01_c75g_c170g_a171g_t288c/IGHV3-33*06/IGHV3-30*02_g49a_t163g_c169t_t288c	IGHV3-3OXN*23	IGHV1-WLDN*00
IGHV3-3OXN*04	IGHV3-33*01/IGHV3-30-3*03_c75g_c113g_t114c_c170g_a171g_c201t_t288c/IGHV3-30-5*01_c75g_c170g_a171g_t288c_a317g/IGHV3-30*03_c75g_c170g_a171g_t288c	IGHV3-3OXN*04	IGHV1-6NTQ*00
IGHV3-3OXN*02	IGHV3-30*02_g49a_t163g_c169t	IGHV3-3OXN*02	IGHV1-4BOM*00
IGHV3-3OXN*03	IGHV3-30-5*02_g49a	IGHV3-3OXN*03	IGHV1-4FZ2*00
IGHV3-3OXN*06	IGHV3-30*18_c54t	IGHV3-3OXN*06	IGHV1-B62R*00
IGHV3-KNBP*01	IGHV3-NL1*01	IGHV3-KNBP*01	IGHV1-KNBP*00
IGHV3-3OXN*11	IGHV3-30-5*02_t201c/IGHV3-30*02_t201c	IGHV3-3OXN*11	IGHV1-NJCY*00
IGHV3-3OXN*15	IGHV3-30*02/IGHV3-30-5*02/IGHV3-30-3*03_a49g_c75g_c113g_t114c_g163t_t169c_c170g_a171g_c201t_g317a/IGHV3-33*06_a49g_g163t_t169c_c288t	IGHV3-3OXN*15	IGHV1-SK6T*00
IGHV3-4LYT*03	IGHV3-11*06_t174c	IGHV3-4LYT*03	IGHV1-AICR*00
IGHV3-4LYT*04	IGHV3-11*05	IGHV3-4LYT*04	IGHV1-BM5U*00
IGHV3-4LYT*01	IGHV3-11*06	IGHV3-4LYT*01	IGHV1-4LYT*00
IGHV3-4LYT*05	IGHV3-11*01	IGHV3-4LYT*05	IGHV1-EMM3*00
IGHV3-4LYT*06	IGHV3-11*04	IGHV3-4LYT*06	IGHV1-EZNG*00
IGHV1-5LBE*03	IGHV1-18*04	IGHV1-5LBE*03	IGHV1-PT5C*00
IGHV1-5LBE*01	IGHV1-18*01	IGHV1-5LBE*01	IGHV1-5LBE*00
IGHV1-5LBE*04	IGHV1-18*03	IGHV1-5LBE*04	IGHV1-RUAZ*00
IGHV1-5LBE*02	IGHV1-18*01_a190g	IGHV1-5LBE*02	IGHV1-FWZE*00
IGHV1-AVZG*03	IGHV1-3*02	IGHV1-AVZG*03	IGHV1-FNWR*00
IGHD7-3VE7*01	IGHD7-27*01	IGHD7-3VE7*01	IGHD1-3VE7*00
IGHJ2-AZGQ*01	IGHJ2*01	IGHJ2-AZGQ*01	IGHJ1-AZGQ*00
IGHV3-42YL*01	IGHV3-43D*05	IGHV3-42YL*01	IGHV1-42YL*00
IGHV5-BB4N*04	IGHV5-10-1*03_c319-_a320-	IGHV5-BB4N*04	IGHV1-P34T*00
IGHV5-BB4N*01	IGHV5-10-1*03	IGHV5-BB4N*01	IGHV1-BB4N*00
IGHV5-BB4N*02	IGHV5-10-1*01_c319-_a320-	IGHV5-BB4N*02	IGHV1-EV3R*00
IGHV5-BB4N*03	IGHV5-10-1*01	IGHV5-BB4N*03	IGHV1-FNCQ*00
IGHV3-42YL*08	IGHV3-43*02	IGHV3-42YL*08	IGHV1-SX43*00
IGHV3-AQ77*05	IGHV3-9*02	IGHV3-AQ77*05	IGHV1-LLLN*00
IGHV3-AQ77*01	IGHV3-9*01_T194C	IGHV3-AQ77*01	IGHV1-AQ77*00
IGHV3-AQ77*04	IGHV3-9*04	IGHV3-AQ77*04	IGHV1-KONF*00
IGHV3-AQ77*02	IGHV3-9*01	IGHV3-AQ77*02	IGHV1-ECBC*00
IGHV3-AQ77*03	IGHV3-9*03	IGHV3-AQ77*03	IGHV1-HY65*00
IGHV3-42YL*05	IGHV3-43*01	IGHV3-42YL*05	IGHV1-GHPJ*00
IGHV3-42YL*02	IGHV3-43D*04	IGHV3-42YL*02	IGHV1-4OOA*00
IGHV3-42YL*06	IGHV3-43D*03_c195a	IGHV3-42YL*06	IGHV1-JDUG*00
IGHV3-42YL*04	IGHV3-43D*03	IGHV3-42YL*04	IGHV1-EENP*00
IGHV3-42YL*03	IGHV3-43D*03_c53t_c195a	IGHV3-42YL*03	IGHV1-CGH4*00
IGHV3-43PC*04	IGHV3-25*04	IGHV3-43PC*04	IGHV1-T74V*00
